character,averageOrder,count,name
,7.1637,172847,
Various,7.01909,2083,Various
Narrator,7.09951,1535,Narrator
Additional Voices,7.71697,1384,Voices
Various Characters,6.94942,1271,Characters
Nurse,8.06333,1149,Nurse
Mother,7.71624,953,Mother
Student,8.15466,894,Student
Bartender,8.0563,829,Bartender
Policeman,8.12148,811,Policeman
Reporter,7.75152,797,Reporter
Police Officer,7.84426,797,Officer
Host,6.80977,788,Host
Waitress,8.13322,708,Waitress
Extra,8.1191,697,Extra
Detective,7.82874,660,Detective
Performer,7.60739,636,Performer
Zombie,8.09309,598,Zombie
Father,7.82856,580,Father
Woman,7.83245,496,Woman
Customer,8.10943,495,Customer
Mom,7.42321,488,Mom
Teacher,8.02243,472,Teacher
Announcer,7.23677,451,Announcer
Dad,7.62495,424,Dad
Actor,7.70342,424,Actor
Cop,7.83011,421,Cop
Model,7.5815,417,Model
Secretary,8.12877,411,Secretary
Soldier,8.02064,400,Soldier
Receptionist,8.06417,387,Receptionist
Himself,7.48939,379,Himself
Guard,8.14862,363,Guard
Undetermined Role,8.48374,331,Role
Security Guard,8.05569,322,Guard
Neighbor,7.92687,314,Neighbor
Director,8.04607,310,Director
Contestant,7.28037,308,Contestant
Wife,7.70261,281,Wife
Manager,8.13333,278,Manager
Maid,8.21314,269,Maid
Victim,7.63906,265,Victim
Henchman,8.02061,255,Henchman
Professor,8.0916,246,Professor
Daughter,7.80875,235,Daughter
Photographer,8.09549,233,Photographer
Girlfriend,7.53248,228,Girlfriend
Officer,8.29056,226,Officer
Herself,7.40931,224,Herself
Thug,8.00087,218,Thug
Boyfriend,7.57116,215,Boyfriend
Journalist,7.93028,205,Journalist
Audience Member,7.73044,203,Member
Comedian,7.57221,193,Comedian
Actress,7.60032,193,Actress
Musician,8.05603,188,Musician
Presenter,6.98614,188,Presenter
Narration,7.34129,187,Narration
Client,8.1353,186,Client
Interviewer,7.47675,177,Interviewer
Office Worker,8.2419,175,Worker
Landlord,7.99961,173,Landlord
News Reporter,7.66008,170,Reporter
Minister,8.22177,169,Minister
Party Goer,8.06263,165,Goer
Principal,8.02349,159,Principal
Prisoner,8.29581,158,Prisoner
Bodyguard,7.74016,155,Bodyguard
Hostess,7.34186,153,Hostess
Chef,7.83925,152,Chef
Grandma,7.90798,145,Grandma
Inspector,8.29911,145,Inspector
(2014),7.68056,144,(2014)
Coach,8.07353,143,Coach
Vicar,8.23533,142,Vicar
Thief,7.92488,142,Thief
Grandmother,8.13366,139,Grandmother
Referee,7.68653,137,Referee
Prostitute,7.95432,135,Prostitute
Drug Dealer,7.93905,134,Dealer
Assistant,7.42215,132,Assistant
The Maid,7.36927,132,Maid
Interviewee,7.85751,131,Interviewee
Commentator,7.51476,131,Commentator
Passenger,8.15116,129,Passenger
Landlady,8.32415,127,Landlady
Newscaster,7.9601,126,Newscaster
(Himself),7.42126,124,(Himself)
Paramedic,7.92575,123,Paramedic
Producer,8.00765,122,Producer
Ghost,7.80743,121,Ghost
Cashier,8.06198,121,Cashier
Neighbour,8.16047,121,Neighbour
Bouncer,8.11558,121,Bouncer
Old Woman,8.03091,121,Woman
